TITLE,OPEN_DT,OPEN_MONTH,OPEN_QUARTER,OPEN_WEEK,SHOW_TM,NATION_NM,COMPANY_NM,PRI_GENRE_NM,WATCH_GRADE_NM,SERIES,NAVER_CMT_NN,NAVER_CMT_LEN_MEAN,NAVER_EX_PT,ORI_BOOK,AUDI_ACC
댄싱퀸,2012-01-18,1,1,3,124.0,한국,씨제이이앤엠(주),코미디,12세이상관람가,0.0,191.0,23.099476439790603,0.0,0.0,4057546
꾼,2017-11-22,11,4,47,116.0,한국,(주)쇼박스,범죄,15세이상관람가,0.0,322.0,43.0683229813665,6730.0,0.0,4018341
혹성탈출: 반격의 서막,2014-07-10,7,3,28,130.0,미국,이십세기폭스코리아(주),액션,12세이상관람가,1.0,354.0,33.6440677966102,2984.0,0.0,4002134
타짜-신의 손,2014-09-03,9,3,36,147.0,한국,롯데쇼핑㈜롯데엔터테인먼트,드라마,청소년관람불가,1.0,3451.0,43.41929875398439,7157.0,1.0,4001813
쿵푸팬더3,2016-01-28,1,1,4,94.0,미국,씨제이이앤엠(주),애니메이션,전체관람가,1.0,222.0,34.009009009009,12441.0,0.0,3984812
캡틴 아메리카: 윈터 솔져,2014-03-26,3,1,13,135.0,미국,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),액션,15세이상관람가,1.0,434.0,30.785714285714302,1969.0,1.0,3963220
박수건달,2013-01-09,1,1,2,128.0,한국,(주)쇼박스,코미디,15세이상관람가,0.0,823.0,31.0291616038882,0.0,0.0,3893216
베놈,2018-10-03,10,4,40,107.0,미국,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,액션,15세이상관람가,1.0,269.0,36.252788104089205,2105.0,0.0,3888096
조선명탐정 : 사라진 놉의 딸,2015-02-11,2,1,7,124.0,한국,(주)쇼박스,사극,12세이상관람가,1.0,310.0,41.2967741935484,7406.0,0.0,3872015
역린,2014-04-30,4,2,18,135.0,한국,롯데쇼핑㈜롯데엔터테인먼트,사극,15세이상관람가,0.0,1281.0,36.3473848555816,6255.0,1.0,3849433
매드 맥스: 분노의 도로,2015-05-14,5,2,20,120.0,미국,워너브러더스 코리아(주),액션,15세이상관람가,1.0,255.0,34.9882352941176,2005.0,0.0,3842441
남한산성,2017-10-03,10,4,40,140.0,한국,씨제이이앤엠(주),사극,15세이상관람가,0.0,711.0,45.285513361462705,8809.0,1.0,3829891
데드풀 2,2018-05-16,5,2,20,117.0,미국,이십세기폭스코리아(주),액션,청소년관람불가,1.0,199.0,36.1105527638191,2012.0,0.0,3784602
암수살인,2018-10-03,10,4,40,109.0,한국,(주)쇼박스,범죄,15세이상관람가,0.0,329.0,41.7629179331307,1474.0,0.0,3772620
국가부도의 날,2018-11-28,11,4,48,114.0,한국,씨제이이앤엠(주),드라마,12세이상관람가,0.0,312.0,41.695512820512796,1172.0,0.0,3754983
미이라,2017-06-06,6,2,23,110.0,미국,유니버설픽쳐스인터내셔널 코리아(유),액션,15세이상관람가,0.0,353.0,35.3201133144476,6513.0,0.0,3689325
분노의 질주: 더 익스트림,2017-04-12,4,2,15,136.0,미국,유니버설픽쳐스인터내셔널 코리아(유),액션,15세이상관람가,1.0,328.0,41.2591463414634,9867.0,0.0,3653238
너의 이름은.,2017-01-04,1,1,1,106.0,일본,메가박스중앙(주)플러스엠,애니메이션,12세이상관람가,0.0,2372.0,47.283305227656,22244.0,1.0,3637122
