■ 영화정보 리스트,,,,,,,,
- 조회일: 2019-06-14,,,,,,,,
- 출처: 영화진흥위원회 통합전산망 (http://www.kobis.or.kr),,,,,,,,
▶ 검색조건 : [  영화명: 전체 감독명: 전체 제작연도: 전체 개봉일자:2010-01-01 ~ 2019-06-09 제작상태: 전체 유형: 전체 장르: 전체 등급: 전체 국적: 전체 인덱싱: 전체 입력비율: 전체 ],,,,,,,,
영화명,영화명(영문),제작연도,제작국가,유형,장르,제작상태,감독,제작사
연애 : 엄마친구 2,,2018,한국,장편,멜로/로맨스,개봉,김부곤,(주)영화사가을
섹스렌탈 일본여대생,Rental colleague girl,2017,일본,장편,성인물(에로),개봉,타케호라 테츠야,
모에모에 천국,Moe moe heaven,2017,일본,장편,성인물(에로),개봉,와타나베 모토츠구,
피자배달은 핑계일뿐,Fucked married women～Delivery Boy and Oyaji～,2018,일본,장편,성인물(에로),개봉,스즈키 켄지,
티팬티와 댄스교실,Temptation of Samba Dancer,2018,일본,장편,성인물(에로),개봉,나베 아츠시,
쾌락을 알려준 새엄마,Kinshin-mugon-sokan Usui Satomi,2018,일본,장편,성인물(에로),개봉,사루,
질투난 여친 엄마,Kanojyo no Haha Kirioka Satsuki,2018,일본,장편,성인물(에로),개봉,산고 코타로,
숙모의 육체조언,Shinzoku-soukan Endo Shihori,2018,일본,장편,성인물(에로),개봉,키타노 마지메,
새엄마의 젖은 망사스타킹,Marvelous married woman and mother-in-law,2018,일본,장편,성인물(에로),개봉,스즈키 켄지,
새엄마랑은 처음인데,The Incest 5,2018,일본,장편,성인물(에로),개봉,니시무라 켄타,
불륜을 들킨 형수에게 꿀빨기,Reality Fucked married women,2018,일본,장편,성인물(에로),개봉,스즈키 켄지,
들킨 방뇨의 실수,Daishikkin Kasumi Kaho,2018,일본,장편,성인물(에로),개봉,타마츠카 빙고,
남편 없을때 찾아온 도련님,Watashi Giteini Netorareta,2018,일본,장편,성인물(에로),개봉,카니에,
긴머리의 친구엄마,Yujin no Izumi Jun,2018,일본,장편,성인물(에로),개봉,사루,
같이사는 아내의 엄마,Yomeno Hahaoya Tanihara Nozomi,2018,일본,장편,성인물(에로),개봉,베타 타카오,
수상한 아가씨,,2017,한국,장편,기타,개봉,,고구마콘텐츠허브(주)
이웃의 스캔들 : 남의 아내 탐하기,RINJINNO SCANDAL,2019,일본,장편,드라마,개봉,,
크레이지 데스 게임,Dangerous Game,2017,미국,장편,액션,개봉,,
빙봉협: 시공행자,Iceman: The Time Traveler,2018,홍콩,장편,"SF,액션",개봉,,
천하대전,The Little Prince,2018,중국,장편,"액션,드라마",개봉,,
비밀 회의실 : 갇혀버린 여사원,GUZENNO MITSITU,2019,일본,장편,드라마,개봉,,
내 아내의 비밀 섹스 ,Inwai Chokyo,2018,일본,장편,성인물(에로),개봉,시스위 우수바,
내 사촌 누나 ,,2019,한국,장편,드라마,개봉,,(주)씨맥스커뮤니케이션즈
어쩌다 옥탑방,,2017,한국,장편,"SF,판타지",개봉,최병욱,고구마콘텐츠허브(주)
거부할 수 없는 유부녀,Don't watch me,2018,일본,장편,성인물(에로),개봉,,
거부할 수 없는 유부녀 2,Don't stare at me,2018,일본,장편,성인물(에로),개봉,,
"유기농 섹드립 로맨스 ""오목리 미스킴""",,2017,한국,장편,,개봉,,(주)코빈커뮤니케이션즈
유정 - 스며들다,,2018,한국,장편,멜로/로맨스,개봉,황일,(주)노시스컴퍼니
상류클럽,Members Only,2016,홍콩,장편,"드라마,멜로/로맨스",개봉,마이크로 챠우,
이웃집 형수-무삭제,,2018,한국,장편,멜로/로맨스,개봉,,(주)케이알씨지
삼손과 데릴라,Samson et Dalila          ,2018,미국,장편,기타,개봉,,
올라프 백작,Count Orlov,2013,러시아,장편,공연,개봉,알리나 체빅,
안티 큐어,Anti Matter,2016,미국,장편,"SF,스릴러",개봉,케어 버로우스,
언씬: 할로우맨,The Unseen,2016,캐나다,장편,"SF,스릴러",개봉,제프 레드크납,
레티나,Retina,2017,미국,장편,스릴러,개봉,카를로스 페레르,
어린 사촌 여동생들,,2019,한국,장편,멜로/로맨스,개봉,이정,(주)소나무픽쳐스
나의 젊은 형수님,,2019,한국,장편,멜로/로맨스,개봉,이정,(주)소나무픽쳐스
여배우: 섹스수업,,2018,한국,장편,멜로/로맨스,개봉,노승택,(주)제이에이와이이엔터테인먼트
예쁜누나(감독판),,2018,한국,장편,멜로/로맨스,개봉,준세,(주)마이애미미디어
내 엄마의 친구 2,,2017,한국,장편,멜로/로맨스,개봉,이동현,(주)소나무픽쳐스
미이라: 악령의 부활,Mummy Reborn,2018,미국,장편,"액션,어드벤처",개봉,댄 알렌,
스와핑: 교수와 제자들,,2019,한국,장편,멜로/로맨스,개봉,이정,(주)소나무픽쳐스
남편 교환의 날,,2019,한국,장편,멜로/로맨스,개봉,이정,(주)소나무픽쳐스
암드,Armed,2018,미국,장편,"액션,스릴러",개봉,마리오 반 피블스,
흠뻑젖은 오사카 소녀,Wet Osaka Girl,2017,일본,장편,성인물(에로),개봉,카토 요시카즈,
형수님의 하얀허벅지,Onegai Sumatadake,2018,일본,장편,성인물(에로),개봉,키타노 마지메,
친구의젊은엄마,,2019,한국,장편,멜로/로맨스,개봉,정민용,스마일컨텐츠
초흥분 혼탕온천커플,Onsen couple,2017,일본,장편,멜로/로맨스,개봉,오가와 킨야,
정신 못차리는 유부녀,Crazy married woman,2017,일본,장편,성인물(에로),개봉,이케지마 유타카,
요즘 유행하는 섹스모임,Hot sex club,2017,일본,장편,멜로/로맨스,개봉,이케지마 유타카,
마구 받아주는 숙모님,Shinzoku-soukan Kazama Yumi,2018,일본,장편,성인물(에로),개봉,키타노 마지메,
리얼 오르가즘의 법칙,Real Orgasm,2017,일본,장편,멜로/로맨스,개봉,야마자키 쿠니노리,
내친구와 결혼한 엄마,Hahaoya no Saikon,2018,일본,장편,성인물(에로),개봉,타마츠카 빙고,
남편부하와 취해서,Bucho no Okusan ga Erosugite Orihara Honoka,2018,일본,장편,성인물(에로),개봉,사루,
위치 오브 하우스,The Witch in the Window,2018,미국,장편,공포(호러),개봉,앤디 밋튼,
어글리 돌,UglyDolls ,2019,미국,장편,애니메이션,개봉,캘리 애스버리,
크레이지 버그,Bug,2017,미국,장편,"드라마,미스터리",개봉,파커 도리스,
친절한 며느리 무삭제,,2018,한국,장편,멜로/로맨스,개봉,김이슬,(주)영화사가을
어린 누나 3,,2019,한국,장편,멜로/로맨스,개봉,계장혁,너바나 필름
미스 스티븐스,Miss Stevens,2016,미국,장편,드라마,개봉,줄리아 하트,
프렌즈: 둥지탈출,Manou the Swift,2019,독일,장편,"애니메이션,어드벤처,코미디",개봉,"크리스찬 하스,안드레아 블록",
나의 특별한 형제,Inseparable Bros,2018,한국,장편,"드라마,코미디",개봉,육상효,"(주)명필름,(주)조이래빗"
막다른 골목의 추억,Memories of a Dead End,2018,"한국,일본",장편,멜로/로맨스,개봉,최현영,(주)영화사조아
예수보다 낯선,Stranger than Jesus,2018,한국,장편,코미디,개봉,여균동,우사유필름
뽀로로 극장판 보물섬 대모험,Treasure Island Adventure,2019,한국,장편,"애니메이션,가족",개봉,"김현호,윤창섭",(주)오콘
미용실 : 특별한 서비스 3,,2019,한국,장편,멜로/로맨스,개봉,김종민,(주)영화사가을
마술피리,Magic Flute,2018,독일,장편,"공연,어드벤처,드라마",개봉,리디아 스타이어,
레전더리: 툼 오브 더 드래곤,Legendary: Tomb of the Dragon,2013,영국,장편,"액션,어드벤처",개봉,에릭 스타일스,
다이노소어 월드,Jurassic Galaxy,2018,미국,장편,"액션,어드벤처,SF",개봉,"제임스 콘델릭,존 콘델릭",
미성년,Another Child,2018,한국,장편,드라마,개봉,김윤석,"(주)영화사레드피터,(주)화이브라더스코리아"
말모이,MAL·MO·E: The Secret Mission,2018,한국,장편,드라마,개봉,엄유나,더램프(주)
안도 타다오,Samurai Architect Tadao Ando,2016,일본,장편,다큐멘터리,개봉,미즈노 시게노리,
일일시호일,Every Day a Good Day,2018,일본,장편,드라마,개봉,오오모리 타츠시,
그들이 진심으로 엮을 때,Close-Knit,2017,일본,장편,"가족,드라마",개봉,오기가미 나오코,
오버로드: 11구역,Trench 11,2017,캐나다,장편,공포(호러),개봉,레오 셔먼,
하트스톤,Heartstone,2016,"아이슬란드,덴마크",장편,드라마,개봉,구두문두르 아르나르 구드문드손,
메이데이,Mayday,2018,미국,장편,액션,개봉,마시밀리아노 세르치,
메모리즈,Memories,2017,한국,장편,"드라마,가족,판타지",개봉,이수성,㈜리필름
더 캡틴,The Captain,2017,"프랑스,독일",장편,"전쟁,드라마",개봉,로베르트 슈벤트케,
8년 전쟁: 이란 vs 이라크,Standing in the Dust,2016,이란,장편,"전쟁,액션",개봉,모하메드 호세인 마흐다비안,
어벤져스: 엔드게임,Avengers: Endgame,2018,미국,장편,"액션,SF",개봉,"안소니 루소,조 루소",
직장 후배의 아내,Husband is a business trip in ...,2018,일본,장편,드라마,개봉,오자키 히로코우지,
젊은 남자에 환장한 새 엄마,SINYUNOBIJIRIHAHA-02,2018,일본,장편,"멜로/로맨스,드라마",개봉,키무라 히로유키,
온천장의 음란한 서비스,OKAMISAN,2018,일본,장편,"멜로/로맨스,드라마",개봉,키무라 히로유키,
아내의 속사정,Husband and I. And ... his,2018,일본,장편,드라마,개봉,시즈카만,
섹스여행:동정 사냥,ONNAHITORITABI,2018,일본,장편,"멜로/로맨스,드라마",개봉,네쿄쿠 타란티노,
색골 옆집 유부녀,Hugging me...,2018,일본,장편,드라마,개봉,오자키 히로코우지,
G컵 새 엄마:달아오른 날,KINNDANKAIRAKUSEIKOU,2017,일본,장편,"멜로/로맨스,드라마",개봉,코메이,
동호회의 목적 2,,2019,한국,장편,멜로/로맨스,개봉,김부곤,(주)영화사가을
마당을 나온 암탉,"Leafie, a Hen into the Wild",2011,한국,장편,애니메이션,개봉,"오성윤,민성아","(주)오돌또기 ,(주)명필름"
공작,The Spy Gone North,2017,한국,장편,드라마,개봉,윤종빈,"(주)영화사 월광,(주)사나이픽처스"
에이지 오브 킬,Age of Kill,2015,영국,장편,액션,개봉,닐 존스,
탐정: 리턴즈,The Accidental Detective 2: In Action,2018,한국,장편,"코미디,범죄",개봉,이언희,(주)크리픽쳐스
체크 메이트 캅,Checkmate,2019,미국,장편,액션,개봉,알렉스 매소네트,
음란한 병원,,2018,한국,장편,"드라마,멜로/로맨스",개봉,한동호,(주)가온콘텐츠
던전에서 만남을 추구하면 안 되는 걸까? ?오리온의 화살?,Is It Wrong to Try to Pick Up Girls in a Dungeon? ?Arrow of the Orion?,2019,일본,장편,"애니메이션,액션,판타지",개봉,사쿠라비 카츠시,
아내의 맛 무삭제판,,2018,한국,장편,멜로/로맨스,개봉,김부곤,(주)영화사가을
사촌여동생들,,2019,한국,장편,멜로/로맨스,개봉,정민용,스마일컨텐츠
아틱,ARCTIC,2017,아이슬란드,장편,드라마,개봉,조 페나,
허비 행콕: 무한한 가능성,Herbie Hancock: Possibilities,2006,미국,장편,다큐멘터리,개봉,"더그 바이로,존 파인",
브라더 오브 더 이어,Brother of the Year,2018,태국,장편,코미디,개봉,위타야 통유용,
장난스런 키스,Fall in Love at First Kiss,2018,대만,장편,멜로/로맨스,개봉,프랭키 첸,
숲속왕국의 꿀벌 여왕,Tall Tales,2017,프랑스,장편,"애니메이션,어드벤처,코미디",개봉,"아르나드 부롱,안톤 크링스",
질투의 역사,A History of Jealousy,2017,한국,장편,"멜로/로맨스,드라마",개봉,정인봉,(주)유앤정필름 
봄은 온다,Life goes on,2018,일본,장편,다큐멘터리,개봉,윤미아,
더 페이버릿: 여왕의 여자,THE FAVOURITE,2018,미국,장편,드라마,개봉,요르고스 란티모스,
나의 작은 시인에게,The Kindergarten Teacher,2018,미국,장편,드라마,개봉,사라 코랑겔로,
엄마학개론,,2018,한국,장편,멜로/로맨스,개봉,차지민,스마일컨텐츠
바람난 아내들2-무삭제,,2019,한국,장편,멜로/로맨스,개봉,장두만,(주)케이피에이기획
생일,Birthday,2018,한국,장편,드라마,개봉,이종언,"나우필름(주),(주)영화사레드피터,파인하우스필름(주)"
로망,Romang,2019,한국,장편,멜로/로맨스,개봉,이창근,"(주)제이지픽쳐스,(주)메이스엔터테인먼트"
철벽선생,"My Teacher, My Love",2018,일본,장편,멜로/로맨스,개봉,츠키카와 쇼,
프로디지,The Prodigy,2018,미국,장편,"공포(호러),스릴러",개봉,니콜라스 맥카시,
리노,Lino - Adventure of Seven Lives,2017,브라질,장편,"애니메이션,어드벤처,가족",개봉,라파엘 리바스,
원 네이션,"One Nation, One King",2018,프랑스,장편,드라마,개봉,피에르 쉘러,
데들리 스틸,Deadly Still,2018,러시아,장편,공포(호러),개봉,안톤 젠코비치,
콜드 체이싱,Cold Pursuit,2019,영국,장편,액션,개봉,한스 페터 몰란트,
엔젤페이스,Angel Face,2018,프랑스,장편,드라마,개봉,바네사 필류,
크게 될 놈,,2018,한국,장편,드라마,개봉,강지은,밀짚모자영화사(주)
유랑지구,The Wandering Earth,2017,중국,장편,SF,개봉,프란트 궈,
러브리스,Loveless,2017,"러시아,프랑스,독일",장편,드라마,개봉,안드레이 즈비아긴체프,
요로나의 저주,The Curse of La Llorona,2019,미국,장편,공포(호러),개봉,마이클 차베즈,
금방 가는 야한 유부녀,MESUTUMA,2017,일본,장편,"멜로/로맨스,드라마",개봉,크가미 무투고로,
노맨스랜드,NOMANSLAND,2017,한국,옴니버스,"코미디,미스터리,공포(호러),뮤지컬",개봉,"박중하,신지현,김상혁,지화자",영화사 유일무이
루스 베이더 긴즈버그 : 나는 반대한다,RBG,2018,미국,장편,다큐멘터리,개봉,"벳시 웨스트,줄리 코헨",
살인마 잭의 집,The house that Jack built,2018,덴마크,장편,"드라마,공포(호러),스릴러",개봉,라스 폰 트리에,
하일슈타텐,Heilstatten,2018,독일,장편,공포(호러),개봉,마이클 데이빗 파테,
더 길티,The Guilty,2018,덴마크,장편,스릴러,개봉,구스타브 몰러,
에브리타임 룩 앳 유,303,2018,독일,장편,"코미디,드라마,멜로/로맨스",개봉,한스 바인가르트너,
배드 사마리안,Bad Samaritan,2018,미국,장편,"스릴러,공포(호러)",개봉,딘 데블린,
옷코는 초등학생 사장님!,Okko's Inn,2018,일본,장편,애니메이션,개봉,코사카 키타로,
내 완벽한 남사친의 비밀,Unleashed,2016,미국,장편,"코미디,멜로/로맨스",개봉,핀 테일러,
우리가족: 라멘샵,RAMEN SHOP,2018,싱가포르,장편,드라마,개봉,에릭 쿠,
더 와이프,The Wife,2017,영국,장편,드라마,개봉,비욘 룬게,
시베리아,Siberia,2018,캐나다,장편,"액션,멜로/로맨스",개봉,매튜 로스,
퍼스트 리폼드,First Reformed,2017,미국,장편,"드라마,스릴러",개봉,폴 슈레이더,
양지의 그녀,Girl In The Sunny Place,2013,일본,장편,"멜로/로맨스,드라마",개봉,미키 타카히로,
아사코,Asako I & II,2017,일본,장편,드라마,개봉,류스케 하마구치,
출동! 도토리 구조대,Get Squirrely,2015,미국,장편,애니메이션,개봉,로스 베노커,
파도치는 땅,The Land on the Waves,2018,한국,장편,드라마,개봉,임태규,(재)전주국제영화제조직위원회
오늘도 평화로운,Super Margin,2019,한국,장편,"액션,코미디",개봉,백승기,꾸러기스튜디오
강변호텔,Hotel by the River,2018,한국,장편,드라마,개봉,홍상수,(주)영화제작전원사 
국경의 왕,The King of the Border,2018,한국,장편,드라마,개봉,임정환,
1919 유관순,,2019,한국,장편,다큐멘터리,개봉,신상민,유관순문화산업전문유한회사
칠곡 가시나들,Granny Poetry Club,2018,한국,장편,다큐멘터리,개봉,김재환,주식회사 단유필름
시인 할매,"The Poem, My Old Mother",2019,한국,장편,다큐멘터리,개봉,이종은,제이리미디어
히치하이크,A Haunting Hitchhike,2017,한국,장편,가족,개봉,정희재,영화사 브리드
왓칭,Watching,2019,한국,장편,"공포(호러),스릴러",개봉,김성기,(주)스토리공감 
타인은 지옥이다,,2018,한국,장편,"멜로/로맨스,드라마",개봉,이영용,선셋 시네마
잊혀진 가방,The Forgotten Bag,2010,한국,장편,다큐멘터리,개봉,김상철,파이오니아21
조건아빠:슈가대디 무삭제판,,2018,한국,장편,멜로/로맨스,개봉,한동호,(주)가온콘텐츠
조건아빠: 슈가대디,,2018,한국,장편,멜로/로맨스,개봉,한동호,(주)가온콘텐츠
기묘한 가족,THE ODD FAMILY : ZOMBIE ON SALE,2018,한국,장편,"코미디,가족",개봉,이민재,씨네주 유한회사
허스토리,Herstory,2017,한국,장편,드라마,개봉,민규동,(주)수필름
브레이크다운,Breakdown,2016,영국,장편,액션,개봉,조니 말라치,
헬보이,Hellboy,2019,미국,장편,"액션,어드벤처,판타지",개봉,닐 마샬,
짜릿한 맛: 불륜,5 year's affair,2018,일본,장편,"드라마,성인물(에로)",개봉,잭 아라이,
직장 스와핑:야한 플레이,BOUSOUGAESUKARE-TOSURUWAKADUMA,2017,일본,장편,"멜로/로맨스,드라마",개봉,히이라기 엔부,
젊은 새엄마:여자가 되는 날,TIGIBO02,2017,일본,장편,"멜로/로맨스,드라마",개봉,코메이,
젊은 새엄마:달아오른 날,Nerawareta Bijinngibo6,2017,일본,장편,"멜로/로맨스,드라마",개봉,네쿄쿠 타란티노,
의붓누나 의붓동생,The Incest 3,2018,일본,장편,성인물(에로),개봉,사토 타케루,
옆침대의 유부녀와 간호사,Wonderful Hospital Experience,2018,일본,장편,성인물(에로),개봉,와타나베 켄이치,
속옷회사 여직원,Demonstration sale!,2018,일본,장편,"드라마,성인물(에로)",개봉,타노미 소카이도,
밀애:남편은 출장중,HURINTUMANO AIYOKUSEIKATU,2017,일본,장편,"멜로/로맨스,드라마",개봉,사노 B사쿠,
목욕탕 가는 아가씨를 유혹,Make Time with Woman Living Alone 9,2018,일본,장편,성인물(에로),개봉,타카사카 켄타로,
내아내의제자들-무삭제,,2018,한국,장편,멜로/로맨스,개봉,정민용,스마일컨텐츠
남편 앞에서 당하는 아내3,HAJIMETENOKEIKEN4,2017,일본,장편,"멜로/로맨스,드라마",개봉,나가에 타카미,
12번째 솔저,The 12th Man,2017,노르웨이,장편,전쟁,개봉,해럴드 즈워트,
골든슬럼버,Golden Slumber,2017,한국,장편,"범죄,드라마",개봉,노동석,영화사 집
국가부도의 날,Default,2018,한국,장편,드라마,개봉,최국희,영화사 집
공포의 묘지,Pet Sematary,2018,미국,장편,"공포(호러),스릴러",개봉,"케빈 콜쉬,데니스 위드미어",
필그리미지,Pilgrimage,2017,"아일랜드,벨기에,미국",장편,"액션,어드벤처",개봉,브렌든 멀다우니,
알래스카 북극곰(무삭제판),,2018,한국,장편,"멜로/로맨스,드라마,코미디",개봉,윤중부,(주)마이애미미디어
