영화제목,개봉일,키워드,수상내역
거미의 땅,2016-01-14,"혼혈,흑인혼혈,성매매여성,미군기지촌,기지촌,양색시,해외영화제수상작","2013년도 올해의 여성영화인상 (여성영화인모임) - 단편,다큐멘터리 부문  2013년도 제13회 일본 야마가타 국제다큐멘터리영화제 국제경쟁 부문 특별상"
거미줄에 걸린 소녀,2018-11-28,"해커,베스트셀러원작,국제범죄조직,디지털전쟁",
거부 못할 제자의 향기,2017-11-17,,
거울나라의 앨리스,2016-09-07,,
거인,2014-11-13,"고등학생,위탁,아버지",부산국제영화제(2014) : 시민평론가상 - 김태용|청룡영화상(2015) : 신인남우상 - 최우식|한국영화평론가협회상 (영평상)(2015) : 남자신인상 - 최우식|한국영화평론가협회상 (영평상)(2015) : 신인감독상 - 김태용|들꽃영화상(2015) : 신인남우상 - 최우식
거절하지 못하는 여자,2010-04-12,,
거짓말,2015-10-29,리플리증후군,부산국제영화제(2014) : 대명컬처웨이브상 - 김동명
거짓말 2018: 감독판,2018-03-27,"기러기아빠,바람,젊은여자,아가씨,성행위,꽃뱀,조건만남",
거짓말은 자란다,2016-03-31,,
거친 녀석들: 거침없이 쏴라,2012-10-11,"이단,광기,국가,풍자",
거침없이 사랑하라,2011-05-05,"소꿉친구,성폭행,연인,두려움",
걱정말아요,2017-01-05,"퀴어무비,동성애,게이,옴니버스영화,LGBT",
건,2013-12-26,"디트로이트,복수,총기난사사건",
건 샤이,2018-05-03,"왕년의,록스타,아내,인질,해적단",
건마의 신:어린 아내의 알바,2018-02-28,"백수건달,마사지걸,아내",
건축학개론,2012-03-22,"건축가,설계,재회,집,첫사랑,대학신입생,신입생,음대생,대학동기,사랑,사랑과우정,추억","백상예술대상(2012) : 영화 여자신인연기상 - 배수지|청룡영화상(2012) : 인기스타상 - 공효진, 하정우, 배수지, 김수현|청룡영화상(2012) : 신인남우상 - 조정석|한국영화평론가협회상 (영평상)(2012) : 음악상 - 이지수|시네마테크KOFA가 주목한 한국영화(2013) : 선정작 - 이용주|부일영화상(2012) : 각본상 - 이용주|올해의 영화상(2013) : 남우신인상 -"
걷기 좋은 날,2018-10-11,"시한부인생,청년,배낭여행,도보여행,암선고,올레길,제주도",
걷기왕,2016-10-20,"경보,고등학생,여고생",황금촬영상 시상식(2017) : 촬영감독이 선정한 여자인기상 - 박주희
걸 온 더 트레인,2017-03-01,,
걸리버 여행기,2011-01-27,"신문사,여행작가,허풍쟁이,뉴욕,거인국,소인국",
걸스,2012-01-19,"인터넷,매춘,홍콩,토막살인,에이즈",
걸스 로스트,2016-07-21,,
걸어도 걸어도,2016-08-04,,
걸캅스,2019-05-09,"여형사,디지털성범죄,성범죄자,비공식수사,제한시간,사건해결,범죄집단,범죄소탕",
검객풍운,2017-03-09,,
검사외전,2016-02-03,"교도소,부패권력,복수,감옥동기,부정부패,부패정치인,부패검사,재판,재심청구,천식,천식흡입기,네블라이저,검사,살인누명,사기꾼,감옥,취조실,취조,교도관,교도소소장,폭력검사,국회의원선거,국회의원후보,총선후보",
검우강호,2010-10-14,"명나라,달마,복수,검객,강호",
검은 사제들,2015-11-05,"엑소시즘,단편영화원작,신부,퇴마의식,카톨릭사제,퇴마,신학생,구마의식,악령,돼지,명동",백상예술대상(2016) : 영화 여자 신인 연기상 - 박소담|청룡영화상(2016) : 여우조연상 - 박소담|춘사영화제(2016) : 신인여우상 - 박소담|부일영화상(2016) : 여우조연상 - 박소담|올해의 영화상(2016) : 신인여우상 - 박소담|한국영화제작가협회상(2016) : 여우조연상 - 박소담
검은 숲 속으로,2017-11-30,,
검은손,2015-04-16,,
겁쟁이 페달: 더 무비,2016-01-14,,부천국제애니메이션페스티벌(2015) : 관객상(장편) - 나가누마 노리히로
겁쟁이 페달: 스페어바이크,2016-11-17,,
게발트 파이브:구타본능,2017-12-25,,
게스트하우스,2018-02-22,"게스트하우스,평창동계올림픽,컬링선수,강릉여행",
게이트,2018-02-28,"비밀금고,도둑,케이퍼무비",
게임 오브 데스,2011-06-09,"전직CIA,은퇴,국가기밀,무기,불법판매,비리",
게임의 규칙,2017-05-11,,
겟 더 걸,2017-08-10,,
겟 아웃,2017-05-17,최면,전미비평가협회상(2018) : 남우주연상 - 다니엘 칼루야|뉴욕비평가협회상(2017) : 신인작품상 - 조던 필|LA비평가협회상(2017) : 각본상 - 조던 필|아카데미 시상식(2018) : 각본상 - 조던 필
겟 어웨이 오브 러브,2016-02-02,,
겨울 냄새,2011-08-18,"겨울,스키,그리움,열정",
겨울나비,2011-07-07,"경찰,나무,소년가장,조난,엄마와아들,땔감,산,조난사고,어머니와아들,북한,북한의실상,실화바탕,가난,생활고",
겨울밤에,2018-09-17,"시간여행,연결된 삶","제22회 탈린블랙나이츠영화제 감독상(장우진), 여우주연상(서영화) 수상  제40회 낭트3대륙영화제 청년심사위원상 수상"
겨울왕국,2014-01-16,"3D애니메이션,모험,뮤지컬,뮤지컬형식,얼음왕국,여름,왕국,자매,저주,디즈니","골든글로브 시상식(2014) : 애니메이션상 -|아카데미 시상식(2014) : 장편애니메이션상 - 크리스 벅, 제니퍼 리, 피터 델 베초|아카데미 시상식(2014) : 주제곡상 -"
겨울왕국의 무민,2018-02-08,"동물캐릭터,핀란드,무민,3D애니메이션,만화캐릭터,스톱모션애니메이션,스톱모션",
격전,2013-12-05,"복서,퇴물,감동,복싱,피신,재기",
결정적 한방,2011-12-07,"뇌물,보좌관,정치인,장관,랩퍼,여당,정치,국회의원,국민",
결혼전야,2013-11-21,"결혼식,로맨틱코미디,일주일,우울증,커플,부부",
결혼하지 않아도 괜찮을까,2015-04-09,,
경,2010-04-29,"어머니,여행,자매,형제,휴게소,디지털,상실,외로움,소통,소통부재,인터넷",
경계,2016-06-30,"경계,경계선,삶,편지,국경,이민자,난민",
경계도시 2,2010-03-18,"간첩,스파이,체포,귀국,도시,경계,소통,레드콤플렉스,타자,분단,기억,망각,베를린영화제,배를린영화제",서울독립영화제(2009) : 독불장군상 - 홍형숙|서울독립영화제(2009) : 최우수작품상 - 홍형숙|부산영화평론가협회상(2010) : 심사위원 특별상 - 홍형숙|DMZ국제다큐멘터리영화제(2009) : 관객상 - 홍형숙|시네마테크KOFA가 주목한 한국영화(2011) : 선정작 - 홍형숙|제14회 부산국제영화제 (2009) AND배급지원펀드 수상작
경계의 저편 : I’LL BE HERE - 과거편 -,2015-10-22,,
경계의 저편 : I’LL BE HERE - 미래편 -,2015-10-08,,
경멸:에고이스트,2012-03-15,"건달,스트리퍼,고향,이별",
경복,2013-07-11,"독립,청춘,친구,월세,스무살,셋방살이,독립영화인 국가보안법철폐 프로젝트,세입자",서울독립영화제(2012) : 새로운 선택 - 최시형
경성학교: 사라진 소녀들,2015-06-18,"기숙학교,소녀,경성,일제강점기,실종,실종사건,전학생,미스터리",황금촬영상 시상식(2016) : 조명상 - 김민재|청룡영화상(2015) : 인기스타상 - 박보영|대종상 영화제(2015) : 조명상 - 김민재|춘사영화제(2016) : 여우조연상 - 엄지원
경심파,2017-09-14,,
경웅여협 : 비밀결사대,2012-04-26,"영웅,청나라,일본유학,1800년대",
경주,2014-06-12,"경주,교수,그림,여행,코미디,옛추억,찻집","한국영화평론가협회상 (영평상)(2014) : 감독상 - 장률|시네마테크KOFA가 주목한 한국영화(2015) : 선정작 -|들꽃영화상(2015) : 심사위원 특별상 - 신민아|제 15회 부산영화평론가협회상 대상(장률), 기술상 (조영직) 수상"
계몽영화,2010-09-16,"문,아버지,임종,가족,시간,과거,과거와현재,현재","시네마테크KOFA가 주목한 한국영화(2011) : 선정작 - 박동훈|아시아ㆍ태평양영화제(2009) : 각본상 - 박동훈, 박남희|아시아ㆍ태평양영화제(2009) : 여우조연상 - 오우정"
계춘할망,2016-05-19,"제주도,해녀,할머니,손녀,상경",
"고, 보이즈!: 마지막 잎새 사수 프로젝트",2012-11-01,"청춘,고등학생,연극부,모범생",
고死 두 번째 이야기: 교생실습,2010-07-28,"교생,살인,속편,학교,명문고교,명문학교,엘리트,선생님,선생,살해,시체,시험,고립,죽음,정답",
고검기담: 소명신검의 부활,2019-01-30,"요괴,인간과 요괴,세기의대결,무협,전설의 검",
고골 더비기닝: 유령살인,,"살인사건,작가,환영,실존인물,괴짜,천재수사관",
고녀석 맛나겠다,2011-07-07,"육식공룡,초식공룡,알,화산,모험",
고녀석 맛나겠다2: 함께라서 행복해,2015-07-29,,
고닌 사가: 5인의 복수,2017-06-01,,
고딩감독,2014-12-26,"고등학생,영화감독",
고래를 찾는 자전거,2011-09-22,"고래,기적,남매,시각상실,아빠,자전거,장생포,시력장애,시력상실증,자전거여행,아저씨,가족",
고려 아리랑: 천산의 디바,2017-05-25,,
고령가 소년 살인사건,2017-11-23,"살인사건,대만,미성년자살인사건,야간학교,폭력조직,실화바탕,실화바탕,실화바탕,실화바탕,1960년대",아시아ㆍ태평양영화제(1991) : 최우수작품상 - 에드워드 양
고령화 가족,2013-05-09,"가족,남매,다툼,사건,소동,소설원작,이야기,화합,식구,갈등과화해,영화감독,재혼,한국소설원작,애증,조폭,조직폭력배,백수,화장품외판원,삼겹살,가족의사랑,가족애",청룡영화상(2013) : 인기스타상 - 공효진
고릴라와 슈퍼레이스,2019-04-03,"치즈,에듀메이션,승부욕,세계챔피언,투포환,레이스,경주,내기",
고백,2011-03-31,"여교사,중학교,죄책감,복수,유아살해",부천국제판타스틱영화제(2010) : 부천초이스심사위원특별상(장편) - 나카시마 테츠야
고백,2015-08-20,"기억,기억상실,미스터리,치정극,욕망,네 남녀",
고백! 세명의 풍속녀,2018-01-04,,
고백할 수 없는,2016-03-31,"영화감독,인터뷰",
"고산자, 대동여지도",2016-09-07,"소설원작,한국소설원작,실존인물,지도,사극,조선후기,조선시대,1800년대",황금촬영상 시상식(2017) : 조명상 - 임재영
고스톱 살인,2014-03-20,"목장,복수,비밀,살인,고스톱,주민등록번호",
고스트,2013-08-22,"도서관,화재,귀신,학생,선생님",
고스트 라이더 3D : 복수의 화신,2012-02-16,"복수,소년,악마,영웅,만화원작,미국만화원작,마블코믹스",
고스트 메신저,2014-05-22,,
고스트 소스 제로,2019-01-31,"로봇,범죄집단,범죄소탕",
고스트 스토리,2017-12-28,,시체스 국제판타스틱 영화제(2017) : 오피셜 판타스틱-최우수촬영상 - 앤드류 드로즈 팔레르모|시체스 국제판타스틱 영화제(2017) : Carnet Jove 최우수 FANTÀSTIC 상 - 데이빗 로워리|도빌 아메리칸 영화제(2017) : 키엘상 - 데이빗 로워리|도빌 아메리칸 영화제(2017) : 국제 비평가 상 - 데이빗 로워리
고스트 킬러: 모니카,2014-03-27,"킬러,라스베가스,복수,갱단",
고스트 패밀리: 구출 대작전,2014-03-27,"유령,가족,구출,구출작전,고아원",
고스트 하우스,2018-09-13,"금기,악령,유령의 집,저주받은집",
고스트 헌터: 얼음 몬스터의 부활,2016-02-25,,
고스트: 보이지 않는 사랑,2010-11-25,"CEO,도예가,도자기,급사,영혼",
고스트버스터즈,2016-08-25,유령,
고스트보트,2015-10-08,"보트,친구들,실종",
고야 : 살과 피의 환상,2017-11-30,,
고양이 사무라이,2014-11-27,고양이,
고양이 사무라이 2,2016-03-10,고양이,
고양이 살인사건,2015-09-03,고양이,
고양이 소녀,2013-11-28,"배우지망생,동거,이별,고양이,가출소녀",
고양이 여행 리포트,2019-05-09,"반려동물,동물의 삶,동물친구,인간과동물,길냥이,이별여행,베스트셀러원작,일본배경,특별한여정,소중함",
고양이 장례식,2015-01-15,"20대,고양이,연애,웹툰원작,옛연인,재회",
고양이 춤,2011-11-17,"길고양이,두남자,시인,CF감독",
고양이 케디,2017-09-21,,2016 사이드워크영화제 최고가족영화상
고양이: 죽음을 보는 두 개의 눈,2011-07-07,"고양이,악몽,의문사,폐소공포증,트라우마,애완동물,엘리베이터,밀폐공간,목격,죽음,눈",
고양이는 불러도 오지 않는다,2016-06-09,고양이,
고양이를 빌려드립니다,2012-12-13,"고양이,리어카,이웃집,일상",
고지전,2011-07-20,"6.25,625,내통자,인민군,저격수,총알,한국전쟁,휴전선,북한군,휴전,교착전,아군,격전,소모전,남북전쟁,육이오전쟁,실화바탕,전방,부대,총격전,동포,한민족,민족분쟁","부산영화평론가협회상(2011) : 기술상(미술부문) - 류성희|청룡영화상(2011) : 인기스타상(남자) - 고수|청룡영화상(2011) : 촬영상 - 김우형|청룡영화상(2011) : 미술상 - 류성희|대종상 영화제(2011) : 기획상 - 이우정|대종상 영화제(2011) : 작품상 -|대종상 영화제(2011) : 조명상 - 김민재|대종상 영화제(2011) : 촬영상 - 김우형|한국영화평론가협회상 (영평상)(2011) : 각본상 - 박상연|한국영화평론가협회상 (영평상)(2011) : 감독상 - 장훈|한국영화평론가협회상 (영평상)(2011) : 최우수작품상 -|한국영화평론가협회상 (영평상)(2011) : 신인남우상 - 이제훈|시네마테크KOFA가 주목한 한국영화(2012) : 선정작 - 장훈|부일영화상(2011) : 최우수작품상 - 정원찬, 이대희|부일영화상(2011) : 남우조연상 - 고창석|부일영화상(2011) : 신인남자연기상 - 이제훈|부일영화상(2011) : 미술상 - 류성희"
고질라,2014-05-15,"괴수,괴수영화",
고질라-파이널 워즈,2011-12-07,"고질라,괴수,속편,시리즈,전쟁,지구,환경파괴,괴수영화",
고질라: 킹 오브 몬스터,2019-05-29,"괴수,거대괴수,지구멸망,고질라,인류생존",
고향이 어디세요,2017-11-09,,
고혹자 - 가두지왕,2013-07-10,"스트리트파이터,싸움,출소,정의",
곡성(哭聲),2016-05-11,"시골마을,무속인,연쇄사건,일본인,굿판,외지인,경찰관,살인사건,의심,퇴마,무당","부천국제판타스틱영화제(2016) : 작품상(부천초이스 장편) - 나홍진|부천국제판타스틱영화제(2016) : NH농협 관객상(부천초이스 장편) - 나홍진|황금촬영상 시상식(2017) : 아역상 - 김환희|백상예술대상(2017) : 영화작품상 -|청룡영화상(2016) : 인기스타상 - 쿠니무라 준|청룡영화상(2016) : 남우조연상 - 쿠니무라 준|청룡영화상(2016) : 음악상 - 달파란, 장영규|청룡영화상(2016) : 감독상 - 나홍진|청룡영화상(2016) : 기술상-편집상 - 김선민|대종상 영화제(2016) : 신인여우상 - 김환희|대종상 영화제(2016) : 조명상 - 김창호|대종상 영화제(2016) : 촬영상 - 홍경표|대종상 영화제(2016) : 녹음상 - 김신용, 박용기|대종상 영화제(2016) : 편집상 - 김선민|춘사영화제(2017) : 최우수감독상 - 나홍진|시네마테크KOFA가 주목한 한국영화(2017) : 선정작 - 나홍진|시체스 국제판타스틱 영화제(2016) : 포커스 아시아-최우수작품상 - 나홍진|시체스 국제판타스틱 영화제(2016) : 오피셜 판타스틱-최우수촬영상 - 홍경표|올해의 영화상(2017) : 감독상 - 나홍진|올해의 영화상(2017) : 작품상 -|한국영화제작가협회상(2016) : 조명상 - 김창호|한국영화제작가협회상(2016) : 촬영상 - 홍경표|한국영화제작가협회상(2016) : 감독상 - 나홍진"
곤지암,2018-03-28,"곤지암정신병원,집단자살,실종,생중계,폐가,공포체험","청룡영화상(2018) : 편집상 - 김형주, 양동엽, 정범식|대종상 영화제(2018) : 편집상 - 김형주, 양동엽, 정범식|한국영화제작가협회상(2018) : 음향상 - 박용기, 박주강"
